id,rnpa,marca,nombreFantasia,denominacionventa,TipoProducto,Estado,activo,fecha_alta,fecha_baja,_key,tipo_cambio,fecha_cambio
66892,02-700835,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL JAMÓN (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66892,baja,2025-08-04
59043,21-104439,NUTRILON PROFUTURA 4,NO REGISTRA,"LECHE MODIFICADA UAT CON PREBIÓTICOS, PARA NIÑOS A PARTIR DE 2 AÑOS LIBRE DE GLUTEN",ALIMENTOS PARA LACTANTES Y NIÑOS DE CORTA EDAD,VIGENTE,Sí,2025-07-26,2025-08-04,59043,baja,2025-08-04
66902,02-700845,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE NATURAL NARANJA (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66902,baja,2025-08-04
66903,02-700846,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE NATURAL GRASA (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66903,baja,2025-08-04
66904,02-700847,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE NATURAL MORTADELA (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66904,baja,2025-08-04
66905,02-700848,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE NATURAL MANTECA (SOLUCIÓN). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66905,baja,2025-08-04
66906,02-700810,CUARTO CRECIENTE DETOX,ZANAHORIA Y NARANJA,BEBIDA SIN ALCOHOL DIETÉTICA CON 67% DE JUGO DE ZANAHORIA Y NARANJA. LIBRE DE GLUTEN,BEBIDAS ANALCOHÓLICAS Y PRODUCTOS PARA PREPARARLAS,VIGENTE,Sí,2025-07-26,2025-08-04,66906,baja,2025-08-04
66901,02-700844,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL POLLO (POLVO). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66901,baja,2025-08-04
66900,02-700843,COMPAÑÍA DE SABOR,NO REGISTRA,AROMATIZANTE IDÉNTICO AL NATURAL FRUTILLA (POLVO). LIBRE DE GLUTEN. USO INDUSTRIAL ALIMENTARIO.,ADITIVOS ALIMENTARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,66900,baja,2025-08-04
66847,02-581837,LA SERENÍSIMA,LECHE ENTERA ULTRAPASTEURIZADA FORTIFICADA CON VITAMINA A Y D,LECHE ENTERA ULTRAPASTEURIZADA HOMOGENEIZADA FORTIFICADA CON VITAMINA A Y D LIBRE DE GLUTEN,LECHES FLUIDAS,VIGENTE,Sí,2025-07-26,2025-08-04,66847,baja,2025-08-04
66824,025/08000161-7/095,CREMIGAL,YOGUR ENTERO SABOR FRUTAS TROPICALES FORTIFICADO CON VITAMINAS A Y D,YOGUR ENDULZADO ENTERO SABOR FRUTAS TROPICALES FORTIFICADO CON VITAMINAS A Y D - LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,66824,baja,2025-08-04
66803,76-01-002505,NO REGISTRA,SAM MILLS - HIGH PROTEIN - GREEN PEA,"PRODUCTO A BASE DE HARINA DE ARVEJAS, LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,66803,baja,2025-08-04
66804,76-01-002503,NO REGISTRA,SAM MILLS - HIGH PROTEIN - CHICKPEA,"PRODUCTO A BASE DE HARINA DE GARBANZO, LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,66804,baja,2025-08-04
66805,76-01-002504,NO REGISTRA,SAM MILLS - HIGH PROTEIN - BLACK BEAN,"PRODUCTO A BASE DE HARINA DE POROTO NEGRO, LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,66805,baja,2025-08-04
66816,14024754,GABY MACHEL,SALSA DE MBURUCUYÁ. LIBRE DE GLUTEN. SIN T.A.C.C.,CONFITURA. LIBRE DE GLUTEN. SIN T.A.C.C.,BAÑOS Y RELLENOS PARA REPOSTERÍA Y CONFITERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66816,baja,2025-08-04
66819,71-01-002500,NO REGISTRA,RISO SCOTTI - ALMOND UNSWEETENED - 100% VEGETAL,"ALIMENTO LÍQUIDO A BASE DE ALMENDRAS, LIBRE DE GLUTEN",BEBIDAS ANALCOHÓLICAS Y PRODUCTOS PARA PREPARARLAS,VIGENTE,Sí,2025-07-26,2025-08-04,66819,baja,2025-08-04
66907,02-700811,CUARTO CRECIENTE DETOX,NO REGISTRA,BEBIDA SIN ALCOHOL DIETÉTICA CON 50% DE JUGO DE TOMATE Y LIMÓN. LIBRE DE GLUTEN,BEBIDAS ANALCOHÓLICAS Y PRODUCTOS PARA PREPARARLAS,VIGENTE,Sí,2025-07-26,2025-08-04,66907,baja,2025-08-04
66887,71-01-002501,NO REGISTRA,"RISO SCOTTI, RICE ORIGINAL, ARROZ ORIGINAL","ALIMENTO LÍQUIDO A BASE DE ARROZ, LIBRE DE GLUTEN",BEBIDAS ANALCOHÓLICAS Y PRODUCTOS PARA PREPARARLAS,VIGENTE,Sí,2025-07-26,2025-08-04,66887,baja,2025-08-04
66848,02-700074,CREMÓN - LA SERENÍSIMA,QUESO CREMÓN CREMOSO,QUESO CREMOSO LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,66848,baja,2025-08-04
66829,025/08002215/027,LA LECHERITA,NO REGISTRA,LECHE CHOCOLATADA SEMIDESCREMADA PASTEURIZADA HOMOGENEIZADA LIBRE DE GLUTEN,BEBIDAS LÁCTEAS,VIGENTE,Sí,2025-07-26,2025-08-04,66829,baja,2025-08-04
66830,025/08002318-3-7/020,EL GALEÓN,HARINA DE ARROZ,HARINA DE ARROZ - LIBRE DE GLUTEN,"HARINAS, SÉMOLAS Y ALMIDONES",VIGENTE,Sí,2025-07-26,2025-08-04,66830,baja,2025-08-04
66831,025/08002318-3-7/023,EL GALEÓN,HARINA DE ARROZ GELATINIZADA,HARINA DE ARROZ GELATINIZADA - LIBRE DE GLUTEN,"HARINAS, SÉMOLAS Y ALMIDONES",VIGENTE,Sí,2025-07-26,2025-08-04,66831,baja,2025-08-04
66832,025/08002318-3-7/024,EL GALEÓN,HARINA DE ARROZ EXTRAFINA,HARINA DE ARROZ EXTRAFINA - LIBRE DE GLUTEN,"HARINAS, SÉMOLAS Y ALMIDONES",VIGENTE,Sí,2025-07-26,2025-08-04,66832,baja,2025-08-04
66834,14026310,TEMPRANERA,NO REGISTRA,YERBA MATE ELABORADA CON PALO. LIBRE DE GLUTEN. SIN T.A.C.C.,YERBA MATE Y AFINES,VIGENTE,Sí,2025-07-26,2025-08-04,66834,baja,2025-08-04
66822,025/08000161-7/094,CREMIGAL,YOGUR ENTERO SABOR DULCE DE LECHE FORTIFICADO CON VITAMINAS A Y D,YOGUR ENDULZADO ENTERO SABOR DULCE DE LECHE FORTIFICADO CON VITAMINAS A Y D - LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,66822,baja,2025-08-04
66828,025/08002215/026,LA LECHERITA,NO REGISTRA,MANTECA LIBRE DE GLUTEN,MANTECA,VIGENTE,Sí,2025-07-26,2025-08-04,66828,baja,2025-08-04
66048,02-700982,MI REFUGIO SIN TACC,NO REGISTRA,TARTA DE DULCE DE LECHE CON BAÑO DE REPOSTERÍA SEMIAMARGO. LIBRE DE GLUTEN,PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66048,baja,2025-08-04
66916,02-507793,ABEDUL,NO REGISTRA,MIEL. LIBRE DE GLUTEN,MIELES Y PRODUCTOS DERIVADOS DE LA APICULTURA,VIGENTE,Sí,2025-07-26,2025-08-04,66916,baja,2025-08-04
66914,02-700852,DONN,ALFAJOR DE ARROZ RELLENO CON MOUSSE DE LIMÓN,GALLETAS DE ARROZ RELLENAS CON MOUSSE DE LIMÓN CUBIERTAS CON BAÑO DE REPOSTERÍA. LIBRE DE GLUTEN,ALFAJORES,VIGENTE,Sí,2025-07-26,2025-08-04,66914,baja,2025-08-04
67012,02-710020,ICE CREAM,PALITO CREAM FRUTILLA,CREMA HELADA SABOR A FRUTILLA AROMATIZADA CON ESENCIA ARTIFICIAL. LIBRE DE GLUTEN,HELADOS Y TORTAS HELADAS,VIGENTE,Sí,2025-07-26,2025-08-04,67012,baja,2025-08-04
67013,27-01-002538,BELIEVE BE FREE,NO REGISTRA,"GALLETITAS DE COCO AROMATIZADAS CON VAINILLA, LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,67013,baja,2025-08-04
67018,21-119797,LHERITIER,PICO DULCE BIT,CARAMELOS MASTICABLES CON SABOR A TUTTI FRUTTI. LIBRE DE GLUTEN.,"CARAMELOS, CHICLES Y PASTILLAS",VIGENTE,Sí,2025-07-26,2025-08-04,67018,baja,2025-08-04
67020,21-119736,ARUNDA,NO REGISTRA,MERMELADA DE FRUTOS DEL BOSQUE REDUCIDA EN CALORÍAS. LIBRE DE GLUTEN,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,67020,baja,2025-08-04
67021,27-21-119900,NESCAFÉ GOLD,EQUILIBRADO,CAFÉ TOSTADO Y MOLIDO LIBRE DE GLUTEN.,CAFÉ Y SUCEDÁNEOS,VIGENTE,Sí,2025-07-26,2025-08-04,67021,baja,2025-08-04
66997,025/08000161-7/092,CREMIGAL,YOGUR ENTERO SABOR VAINILLA FORTIFICADO CON VITAMINAS A Y D,YOGUR ENDULZADO ENTERO SABOR VAINILLA FORTIFICADO CON VITAMINAS A Y D - LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,66997,baja,2025-08-04
66998,025/08000161-7/093,CREMIGAL,YOGUR ENTERO SABOR DURAZNO FORTIFICADO CON VITAMINA A Y D,YOGUR ENDULZADO ENTERO SABOR DURAZNO FORTIFICADO CON VITAMINA A Y D - LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,66998,baja,2025-08-04
67083,025/08002983/045,DOS HERMANOS,SNACK DE ARROZ SABOR PAPAS FRITAS,DISCOS DE SÉMOLA DE ARROZ HORNEADOS. SABOR PAPAS FRITAS LIBRE DE GLUTEN,SNACKS,VIGENTE,Sí,2025-07-26,2025-08-04,67083,baja,2025-08-04
67103,21-119798,LHERITIER,BABY DOLL MONSTERS,CHUPETÍN DE CARAMELO MASTICABLE CON SABOR A UVA LIBRE DE GLUTEN,"CARAMELOS, CHICLES Y PASTILLAS",VIGENTE,Sí,2025-07-26,2025-08-04,67103,baja,2025-08-04
67104,21-120047,LHERITIER,BOLA LOCA PLANETAS,"CHUPETÍN DE CARAMELO DURO CON SABOR A MORA Y CON SABOR A ANANÁ RELLENOS CON CHICLE SABOR A TUTTI FRUTTI, SURTIDOS, LIBRE DE GLUTEN.","CARAMELOS, CHICLES Y PASTILLAS",VIGENTE,Sí,2025-07-26,2025-08-04,67104,baja,2025-08-04
67105,21-120050,LHERITIER,BOLA LOCA POOL PARTY,"CHUPETINES DE CARAMELOS DUROS RELLENOS CON CHICLE SABOR A TUTTI FRUTTI, LIBRE DE GLUTEN.","CARAMELOS, CHICLES Y PASTILLAS",VIGENTE,Sí,2025-07-26,2025-08-04,67105,baja,2025-08-04
67108,21-119788,MELINCUÉ,NO REGISTRA,DULCE DE LECHE REPOSTERO LIBRE DE GLUTEN,DULCE DE LECHE,VIGENTE,Sí,2025-07-26,2025-08-04,67108,baja,2025-08-04
67110,21-119822,FIDELAC,FIDELAC,LECHE ENTERA EN POLVO INSTANTÁNEA FORTIFICADA CON VITAMINAS A Y D. LIBRE DE GLUTEN.,LECHE EN POLVO,VIGENTE,Sí,2025-07-26,2025-08-04,67110,baja,2025-08-04
67085,025/08004231/026,RINCÓN DE VIDA,"BEBIDA SIN ALCOHOL CON 20% DE JUGO DE ARÁNDANO, CON VITAMINA C. BAJAS CALORÍAS. SABOR ARÁNDANO - LIBRE DE GLUTEN – SIN TACC.",BEBIDA SIN ALCOHOL CON 20% DE JUGO DE ARÁNDANO. CON VITAMINA C. BAJAS CALORÍAS . SABOR ARÁNDANO. LIBRE DE GLUTEN,BEBIDAS ANALCOHÓLICAS Y PRODUCTOS PARA PREPARARLAS,VIGENTE,Sí,2025-07-26,2025-08-04,67085,baja,2025-08-04
67086,025/08004231/027,RINCÓN DE VIDA,"BEBIDA SIN ALCOHOL CON 20% DE JUGO DE ARÁNDANO, CON VITAMINA C BAJAS CALORÍAS SABOR ARÁNDANOS CON SEMILLA DE CHÍA LIBRE DE GLUTEN","BEBIDA SIN ALCOHOL CON 20% DE JUGO DE ARÁNDANOS, CON VITAMINA C. BAJAS CALORÍAS. SABOR ARÁNDANOS. CON SEMILLAS DE CHÍA LIBRE DE GLUTEN",BEBIDAS ANALCOHÓLICAS Y PRODUCTOS PARA PREPARARLAS,VIGENTE,Sí,2025-07-26,2025-08-04,67086,baja,2025-08-04
66996,025/08000161-7/091,CREMIGAL,YOGUR ENTERO SABOR FRUTILLA FORTIFICADO CON VITAMINAS A Y D,YOGUR ENDULZADO ENTERO SABOR FRUTILLA FORTIFICADO CON VITAMINAS A Y D - LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,66996,baja,2025-08-04
66995,025/08004104/021,DELICIAN,PAN DULCE CON CHIPS SABOR CHOCOLATE,PAN DULCE CON BAÑO DE REPOSTERÍA LIBRE DE GLUTEN,PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66995,baja,2025-08-04
66994,025/08004104/020,DELICIAN,PAN DULCE CON FRUTAS SECAS,PAN DULCE CON NUECES LIBRE DE GLUTEN,PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66994,baja,2025-08-04
66647,071-00-011659,SIVIERO MARÍA,PANNA CON FRAGOLE,POSTRE CONGELADO A BASE DE LECHE Y AZÚCARES SABOR A CREMA CON SALSA DULCE DE FRUTILLAS Y FRUTILLAS CONFITADAS - LIBRE DE GLUTEN,POSTRES LÁCTEOS LISTOS PARA CONSUMIR,VIGENTE,Sí,2025-07-26,2025-08-04,66647,baja,2025-08-04
66917,02-700825,ABEDUL,NO REGISTRA,KÉTCHUP. LIBRE DE GLUTEN,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,66917,baja,2025-08-04
66918,02-700826,ABEDUL,NO REGISTRA,ADEREZO A BASE DE MOSTAZA. LIBRE DE GLUTEN,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,66918,baja,2025-08-04
66919,02-700827,ABEDUL,NO REGISTRA,MERMELADA DE DURAZNO. LIBRE DE GLUTEN,"CONFITURAS (COMPOTAS, VEGETALES EN ALMÍBAR, MERMELADAS, DULCES, JALEAS)",VIGENTE,Sí,2025-07-26,2025-08-04,66919,baja,2025-08-04
66920,02-700828,ABEDUL,NO REGISTRA,MAYONESA REDUCIDA EN VALOR LIPÍDICO. LIBRE DE GLUTEN,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,66920,baja,2025-08-04
66943,05003995,MAIN PROCESS,NO REGISTRA,"PREPARADO DE BANANA, LIBRE DE GLUTEN - SIN TACC",MATERIAS PRIMAS PARA LA INDUSTRIA ALIMENTARIA,VIGENTE,Sí,2025-07-26,2025-08-04,66943,baja,2025-08-04
66644,071-00-011717,SIVIERO MARÍA,STRACCIATELLA,"POSTRE CONGELADO A BASE DE LECHE Y AZÚCARES SABOR A CREMA Y VAINILLA CON TROZOS DE CHOCOLATE, DECORADO CON PREPARADO A BASE DE COCO Y CACAO - LIBRE DE GLUTEN",POSTRES LÁCTEOS LISTOS PARA CONSUMIR,VIGENTE,Sí,2025-07-26,2025-08-04,66644,baja,2025-08-04
66944,05004575,MAIN FUSION,PASTA ANANÁ,"PREPARADO EN PASTA DE ANANÁ, LIBRE DE GLUTEN - SIN TACC",MATERIAS PRIMAS PARA LA INDUSTRIA ALIMENTARIA,VIGENTE,Sí,2025-07-26,2025-08-04,66944,baja,2025-08-04
66946,05004587,MAIN FUSIÓN,PASTA DURAZNO,PREPARADO EN PASTA DE DURAZNO - LIBRE DE GLUTEN – SIN TACC,MATERIAS PRIMAS PARA LA INDUSTRIA ALIMENTARIA,VIGENTE,Sí,2025-07-26,2025-08-04,66946,baja,2025-08-04
66988,025/08002983/043,CUISINE & CO,MINI TOSTADAS DE ARROZ SALADAS,TOSTADAS DE ARROZ - LIBRE DE GLUTEN,GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,66988,baja,2025-08-04
66989,025/08002983/044,CUISINE & CO,MINI TOSTADAS DE ARROZ SIN SAL,TOSTADAS DE ARROZ SIN SAL AGREGADA - LIBRE DE GLUTEN,GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,66989,baja,2025-08-04
66990,025/08002983/028,JUMBO MÁS CALIDAD,MINI TOSTADITAS DE ARROZ SALADAS,TOSTADAS DE ARROZ LIBRE DE GLUTEN,GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,66990,baja,2025-08-04
66991,025/08002983/029,JUMBO MÁS CALIDAD,MINI TOSTADITAS DE ARROZ SIN SAL,TOSTADAS DE ARROZ SIN SAL AGREGADA LIBRE DE GLUTEN,GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,66991,baja,2025-08-04
66992,025/08002983/030,VEA JUNTO A VOS,MINI TOSTADITAS DE ARROZ SALADAS,TOSTADAS DE ARROZ LIBRE DE GLUTEN,GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,66992,baja,2025-08-04
66945,05004749,MAIN FUSIÓN,PASTA SAMBAYÓN,"PREPARADO DE PASTA SABOR SAMBAYÓN, LIBRE DE GLUTEN, SIN TACC",MATERIAS PRIMAS PARA LA INDUSTRIA ALIMENTARIA,VIGENTE,Sí,2025-07-26,2025-08-04,66945,baja,2025-08-04
66908,02-700813,CUARTO CRECIENTE DETOX,NO REGISTRA,"BEBIDA SIN ALCOHOL DIETÉTICA CON 53% DE JUGO DE APIO Y LIMÓN, PULPA DE MANZANA Y JENGIBRE. LIBRE DE GLUTEN",BEBIDAS ANALCOHÓLICAS Y PRODUCTOS PARA PREPARARLAS,VIGENTE,Sí,2025-07-26,2025-08-04,66908,baja,2025-08-04
66913,02-700851,DONN,ALFAJOR DE ARROZ RELLENO CON MOUSSE DE CHOCOLATE,GALLETAS DE ARROZ RELLENAS CON MOUSSE DE CHOCOLATE CUBIERTAS CON BAÑO DE REPOSTERÍA. LIBRE DE GLUTEN,ALFAJORES,VIGENTE,Sí,2025-07-26,2025-08-04,66913,baja,2025-08-04
66641,071-00-011661,SIVIERO MARÍA,LIMONE DI SICILIA,POSTRE CONGELADO A BASE DE AGUA Y AZÚCARES SABOR A LIMÓN - LIBRE DE GLUTEN,POSTRES LÁCTEOS LISTOS PARA CONSUMIR,VIGENTE,Sí,2025-07-26,2025-08-04,66641,baja,2025-08-04
66639,030-00-011711,PACARÍ,MARACUYÁ - PASSION FRUIT - 60 % CACAO,CHOCOLATE AMARGO CON MARACUYÁ EN POLVO - LIBRE DE GLUTEN,CHOCOLATES,VIGENTE,Sí,2025-07-26,2025-08-04,66639,baja,2025-08-04
66029,02-700941,MI REFUGIO SIN TACC,NO REGISTRA,GALLETITAS SABOR A VAINILLA CUBIERTAS CON BAÑO DE REPOSTERÍA SEMIAMARGO. LIBRE DE GLUTEN.,GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,66029,baja,2025-08-04
66030,02-700948,MI REFUGIO SIN TACC,NO REGISTRA,PASTAS FRESCAS RELLENAS CON CALABAZA Y MOZZARELLA LIBRE DE GLUTEN. CONGELADAS.,PASTAS FRESCAS RELLENAS,VIGENTE,Sí,2025-07-26,2025-08-04,66030,baja,2025-08-04
66031,02-700949,MI REFUGIO SIN TACC,NO REGISTRA,"PASTAS FRESCAS RELLENAS CON JAMÓN, RICOTA Y MOZZARELLA. LIBRE GLUTEN. CONGELADAS.",PASTAS FRESCAS RELLENAS,VIGENTE,Sí,2025-07-26,2025-08-04,66031,baja,2025-08-04
66032,02-700950,MI REFUGIO SIN TACC,NO REGISTRA,PASTAS FRESCAS RELLENAS CON POLLO Y RICOTA. LIBRE DE GLUTEN. CONGELADAS.,PASTAS FRESCAS RELLENAS,VIGENTE,Sí,2025-07-26,2025-08-04,66032,baja,2025-08-04
66033,02-700951,MI REFUGIO SIN TACC,NO REGISTRA,PASTAS FRESCAS RELLENAS CON RICOTAS DE NUEZ. LIBRE DE GLUTEN. CONGELADAS.,PASTAS FRESCAS RELLENAS,VIGENTE,Sí,2025-07-26,2025-08-04,66033,baja,2025-08-04
66026,02-700939,MI REFUGIO SIN TACC,NO REGISTRA,SÁNDWICH DE MIGA DE JAMÓN Y QUESO. LIBRE DE GLUTEN. CONGELADOS.,COMIDAS PREPARADAS Y SEMIELABORADAS,VIGENTE,Sí,2025-07-26,2025-08-04,66026,baja,2025-08-04
66028,02-700930,MI REFUGIO SIN TACC,NO REGISTRA,BUDÍN DE CHOCOLATE CON DULCE DE LECHE. LIBRE DE GLUTEN,PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66028,baja,2025-08-04
66027,02-700931,MI REFUGIO SIN TACC,NO REGISTRA,GALLETITAS MARINERAS. LIBRE DE GLUTEN.,GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,66027,baja,2025-08-04
66041,02-700956,MI REFUGIO SIN TACC,NO REGISTRA,TAPAS PARA EMPANADAS. LIBRE DE GLUTEN. CONGELADAS,PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66041,baja,2025-08-04
66042,02-700958,MI REFUGIO SIN TACC,NO REGISTRA,PAN CON TRIGO SARRACENO Y SEMILLAS. LIBRE DE GLUTEN. CONGELADO,PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66042,baja,2025-08-04
66043,02-700976,MI REFUGIO SIN TACC,NO REGISTRA,MASA PARA PIZZAS. LIBRE DE GLUTEN. CONGELADA,PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,66043,baja,2025-08-04
